TUCASEID,GEMETSTA,GTMETSTA,PEEDUCA,PEHSPNON,PTDTRACE,TEAGE,TELFS,TEMJOT,TESCHENR,TESCHLVL,TESEX,TESPEMPNOT,TRCHILDNUM,TRDPFTPT,TRERNWA,TRHOLIDAY,TRSPFTPT,TRSPPRES,TRYHHCHILD,TUDIARYDAY,TUFNWGTP,TEHRUSLT,TUYEAR,TU20FWGT,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t18,t50
20190101192504,-1,1,43,2,1,68,1,2,-1,-1,2,1,1,1,76900,0,1,1,13,4,4289802.322858,40,2019,4104623.678574,750,115,0,0,0,0,70,0,0,0,80,390,0,0,0,0,35,0
20190110180684,-1,1,33,1,1,37,5,-1,2,-1,2,-1,5,-1,-1,0,-1,3,9,4,36076675.430025,-1,2019,34111469.728967,660,360,0,0,0,0,0,0,0,0,120,300,0,0,0,0,0,0
20190110181835,-1,1,39,2,1,41,1,2,2,-1,1,-1,0,1,83250,1,-1,3,-1,3,19276654.427899,45,2019,17935996.123464,385,15,0,0,495,0,35,0,0,0,15,300,0,0,0,0,75,120
20190111180022,-1,1,39,2,1,30,1,2,2,-1,2,-1,1,1,132692,0,-1,3,4,1,2305131.067106,40,2019,2354985.911957,450,31,15,11,0,0,205,0,0,0,30,593,0,0,0,0,105,0
20190111180065,-1,1,44,2,2,48,1,2,2,-1,1,-1,0,1,144200,0,-1,3,-1,1,3320074.054978,40,2019,3532231.571752,759,125,0,20,0,0,170,0,0,0,20,285,0,0,0,5,56,0
20190111180069,-1,1,35,2,2,63,1,2,-1,-1,2,-1,1,2,63000,0,-1,3,4,7,5519244.880191,24,2019,4949951.694669,720,45,560,0,0,0,0,0,0,0,30,85,0,0,0,0,0,0
20190111180093,-1,1,36,2,2,39,5,-1,1,2,2,-1,0,-1,-1,0,-1,3,-1,2,12243799.524934,-1,2019,10753994.347574,862,0,0,0,0,0,2,0,0,0,60,203,0,0,0,0,313,0
20190111180126,-1,1,43,2,2,39,4,-1,2,-1,2,1,1,-1,-1,0,1,1,10,4,16754424.530341,-1,2019,20625506.902092,517,215,46,20,0,0,32,0,0,0,30,342,0,0,0,210,28,0
20190111180132,-1,1,40,2,6,36,1,2,2,-1,1,1,2,1,288456,0,2,1,10,1,3724694.717223,42,2019,3622234.565604,455,45,0,0,720,0,0,0,0,0,10,75,105,0,0,30,0,0
20190111180151,-1,1,43,2,1,32,1,2,2,-1,1,1,2,1,173076,0,1,1,3,1,2490491.791622,45,2019,2878398.869643,640,120,125,0,15,0,90,0,0,0,60,240,120,0,0,0,30,0
20190111180540,-1,1,44,2,1,57,1,1,-1,-1,2,1,0,1,64000,0,2,1,-1,2,17458118.891416,50,2019,20034553.973384,570,0,0,0,600,0,0,60,0,0,60,30,0,0,0,0,120,0
20190111180550,-1,1,43,2,1,67,5,-1,-1,-1,2,1,0,-1,-1,0,2,1,-1,2,13987745.155197,-1,2019,12959358.370279,620,285,0,0,0,0,0,0,0,0,45,430,0,0,0,0,60,0
20190111180554,-1,2,35,1,7,16,5,-1,1,1,2,-1,2,-1,-1,0,-1,3,6,2,33882780.419847,-1,2019,37631221.325244,660,85,15,0,0,390,0,0,0,0,165,0,0,0,0,30,35,60
20190111180555,-1,1,43,2,2,60,1,2,-1,-1,2,-1,1,1,120000,1,-1,3,11,3,6772968.732517,40,2019,7285891.185307,490,455,0,0,0,0,0,0,0,0,45,420,0,0,0,0,30,0
20190111180558,-1,1,39,2,1,54,1,2,-1,-1,1,1,0,1,120000,0,2,1,-1,5,24820073.564369,40,2019,26249795.079575,585,35,0,0,510,0,0,0,0,0,10,120,0,0,0,0,180,0
